"Species" "scientificName" "taxonRank" "GBIF_status" "GBIF_accepted" "Genus" "Family" "Order" "Class" "Phylum" "Group" "Source" "originCH" "originEUR" "swissRedListCategory" "europeanRegionalRedListCategory" "iucnRedListCategory" "EcoTer" "EcoFresh" "EcoMar" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "RangeSize_km2" "BodyLength_mm" "BodyLength_male" "BodyLength_female" "BodyLength_min" "BodyLength_max" "Litter_size" "Development_total_d" "Development_egg_mean_d" "Development_larva_mean_d" "Development_pupa_mean_d" "Longevity_y" "Semivoltine" "Univoltine" "Bivoltine" "Multivoltine" "Overwintering_egg" "Overwintering_larva" "Overwintering_pupa" "Overwintering_imago" "Activity" "Larva_Diet" "Imago_Diet" "Larva_Diet_range" "Imago_Diet_range" "Diet_Carniv" "Diet_Scav" "Diet_Fungi" "Diet_Root" "Diet_Seed" "Diet_Leaf" "Diet_Flower" "Diet_Stem" "Diet_Grass" "Diet_Woody" "EIV_Light" "EIV_Temp" "EIV_Moisture" "Elev_Planar" "Elev_Colline" "Elev_Montane" "Elev_Subalpine" "Elev_Alpine" "Dispersal_ability" "Dispersal_km" "Riparian_sp" "Habitat_ephemeral" "Habitat_lakes" "Habitat_ponds" "Habitat_rivers" "Habitat_streams" "Forewing_length_mm" "Hindwing_length_mm" "Sex_dimporh" "Territoriality" "Flight_mode_flier" "Flight_mode_percher" "BodyCol_black" "BodyCol_blue" "BodyCol_brown" "BodyCol_gray" "BodyCol_green" "BodyCol_orange" "BodyCol_pink" "BodyCol_red" "BodyCol_violet" "BodyCol_white" "BodyCol_yellow" "BodyColType_pigment" "BodyColType_pruinesc" "BodyColType_structur" "BodyPatterns_plain" "BodyPatterns_spotted" "BodyPatterns_striped" "Wing_Pigment" "WP_pattern" "WP_symmetry" "WP_dimorph" "WPColor_cover" "WPCol_amber" "WPCol_black" "WPCol_blue" "WPCol_brown" "WPCol_iredesc" "WPCol_orange" "WPCol_prunesc" "WPCol_red" "WPCol_yellow" "Larva_BodyLength_mm" "Larva_BodyLength_min" "Larva_BodyLength_max" "Larva_Habitat_stillwaters" "Larva_Habitat_watercourses" "Larva_Habitat_moors" "Larva_EIV_Drought" "Larva_Biotope_range" "MISSING_ALL_TRAITS"
"Libellula virgo" "Libellula virgo Linnaeus, 1758" "SPECIES" "homotypic synonym" "Calopteryx virgo (Linnaeus, 1758)" "Calopteryx" "Calopterygidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "VU" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 7762069.08965077 47 NA NA 45 49 NA 720 NA NA NA 0.13972602739726 1 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.833333333333333 NA 1 1 1 0 0 0.515463917525773 NA 2 0 0 0 0 1 NA 30 "strong" NA 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 "Yes" NA "symmetric" "strongly" 1 0 1 0 0 1 0 0 0 0 20 17 23 0 1 0 0 "stenotop" "NO"
"Libellula vulgatissimus" "Libellula vulgatissimus Linnaeus, 1758" "SPECIES" "homotypic synonym" "Gomphus vulgatissimus (Linnaeus, 1758)" "Gomphus" "Gomphidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "LC" "LC" "ENDANGERED" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA 47.5 NA NA 45 50 NA 1080 NA NA NA NA 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.541666666666667 NA 0 1 1 0 0 0.515463917525773 NA 3 0 0 0 0 1 NA 30.5 "strong" "territorial" 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 28.5 24 33 1 1 0 0 "oligotop" "NO"
"Libellula vulgatum" "Libellula vulgatum Linnaeus, 1758" "SPECIES" "homotypic synonym" "Sympetrum vulgatum (Linnaeus, 1758)" "Sympetrum" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 37.5 NA NA 35 40 NA 105 NA NA NA NA 0 1 0 0 1 0 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.625 NA 0 1 1 0 0 0.687285223367698 NA 2 0 1 1 0 0 NA 26.5 "strong" NA 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 17 15 19 1 0 1 1 "eurytop" "NO"
"Lindenia tetraphylla" "Lindenia tetraphylla (Vander Linden, 1825)" "SPECIES" "accepted" "Lindenia tetraphylla (Vander Linden, 1825)" "Lindenia" "Gomphidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "VU" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 74.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 1 0 1 0 NA 38 "weak" NA 0 1 1 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Macromia splendens" "Macromia splendens (Pictet, 1843)" "SPECIES" "accepted" "Macromia splendens (Pictet, 1843)" "Macromia" "Macromiidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "Yes" NA "VU" "VULNERABLE" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 608896.465067012 72.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 0 0 1 0 NA 45.5 "strong" "territorial" 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Nehalennia speciosa" "Nehalennia speciosa (Charpentier, 1840)" "SPECIES" "accepted" "Nehalennia speciosa (Charpentier, 1840)" "Nehalennia" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "CR" "NT" "REGIONALLY_EXTINCT" 1 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 926114.093830277 25 NA NA 24 26 NA 360 NA NA NA NA 1 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.625 NA 0 1 0 0 0 0 NA 2 0 1 0 0 0 NA 14 "strong" NA 0 1 0 1 0 0 1 0 0 0 0 0 0 1 1 1 1 0 0 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 9.25 8 10.5 0 0 1 0 "stenotop" "NO"
"Onychogomphus costae" "Onychogomphus costae Selys, 1885" "SPECIES" "accepted" "Onychogomphus costae Selys, 1885" "Onychogomphus" "Gomphidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "EN" "NEAR_THREATENED" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 162119.660044455 44 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 1 0 0 0 1 NA 25 "weak" NA 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Onychogomphus forcipatus" "Onychogomphus forcipatus (Linnaeus, 1758)" "SPECIES" "accepted" "Onychogomphus forcipatus (Linnaeus, 1758)" "Onychogomphus" "Gomphidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" NA "NT" "REGIONALLY_EXTINCT" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA 48 NA NA 46 50 NA 1080 NA NA NA NA 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0.474226804123711 NA NA 0 1 0 1 1 NA 28 "strong" NA 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 24 22 26 1 1 0 0 NA "NO"
"Onychogomphus forcipatus aggr." "Onychogomphus forcipatus (Linnaeus, 1758)" "AGGREGATE" "accepted" "Onychogomphus forcipatus (Linnaeus, 1758)" "Onychogomphus" "Gomphidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "InfoSpecies" "INN" "No" NA "NT" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA 52.5 NA NA 46 59 NA 1080 NA NA NA NA 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0.474226804123711 NA NA 0 1 0 1 1 NA 28 "strong" NA 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 24 22 26 1 1 0 0 NA "NO"
"Onychogomphus forcipatus subsp. albotibialis" "Onychogomphus forcipatus albotibialis Schmidt, 1954" "SUBSPECIES" "synonym" "Onychogomphus forcipatus (Linnaeus, 1758)" "Onychogomphus" "Gomphidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" "INN" "No" NA "NT" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA 50.25 NA NA 46 54.5 NA 1080 NA NA NA NA 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0.474226804123711 NA NA 0 1 0 1 1 NA 28 "strong" NA 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 24 22 26 1 1 0 0 NA "NO"
"Onychogomphus forcipatus subsp. forcipatus" "Onychogomphus forcipatus forcipatus" "SUBSPECIES" "accepted" "Onychogomphus forcipatus forcipatus" "Onychogomphus" "Gomphidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "LC" "LC" NA 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA 52.5 NA NA 46 59 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA 0.625 NA 0 1 1 0 0 NA NA 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 24 22 26 1 1 0 0 "stenotop" "NO"
"Onychogomphus forcipatus subsp. unguiculatus" "Onychogomphus forcipatus unguiculatus (Van der Linden, 1823)" "SUBSPECIES" "accepted" "Onychogomphus forcipatus unguiculatus (Van der Linden, 1823)" "Onychogomphus" "Gomphidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "VU" "LC" NA 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA 52.5 NA NA 46 59 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA 0.958333333333333 NA 1 1 0 0 0 NA NA 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 24 22 26 1 1 0 0 "stenotop" "NO"
"Onychogomphus uncatus" "Onychogomphus uncatus (Charpentier, 1840)" "SPECIES" "accepted" "Onychogomphus uncatus (Charpentier, 1840)" "Onychogomphus" "Gomphidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "InfoSpecies" NA "No" "RE" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 570683.906086045 51.5 NA NA 50 53 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA 0.666666666666667 NA 0 1 1 0 0 NA NA 3 0 0 0 1 1 NA 31 "weak" NA 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 24 22 26 0 1 0 1 "stenotop" "NO"
"Ophiogomphus cecilia" "Ophiogomphus cecilia (Fourcroy, 1785)" "SPECIES" "accepted" "Ophiogomphus cecilia (Fourcroy, 1785)" "Ophiogomphus" "Gomphidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "VU" "LC" "REGIONALLY_EXTINCT" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 1897037.97379429 55 NA NA 50 60 NA 1080 NA NA NA NA 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.583333333333333 NA 0 1 1 0 0 0.487972508591065 NA 3 0 0 0 1 0 NA 34 "strong" NA 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 30.5 29 32 0 1 0 0 "stenotop" "NO"
"Ophiogomphus serpentinus" "Ophiogomphus serpentinus (Charpentier, 1825)" "SPECIES" "synonym" "Ophiogomphus cecilia (Fourcroy, 1785)" "Ophiogomphus" "Gomphidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "VU" "LC" "REGIONALLY_EXTINCT" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 1897037.97379429 55 NA NA 50 60 NA 1080 NA NA NA NA 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.583333333333333 NA 0 1 1 0 0 0.487972508591065 NA 3 0 0 0 1 0 NA 34 "strong" NA 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 30.5 29 32 0 1 0 0 "stenotop" "NO"
"Orthetrum albistylum" "Orthetrum albistylum (Selys, 1848)" "SPECIES" "accepted" "Orthetrum albistylum (Selys, 1848)" "Orthetrum" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "NT" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 2547817.50309023 47.5 NA NA 45 50 NA 360 NA NA NA NA 0 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.541666666666667 NA 0 1 0 0 0 0.77319587628866 NA 1 0 1 1 0 0 NA 35.5 "strong" "territorial" 0 1 1 1 0 0 0 0 0 0 0 1 0 1 1 0 1 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 23 21 25 1 0 0 0 "oligotop" "NO"
"Orthetrum brunneum" "Orthetrum brunneum (Fonscolombe, 1837)" "SPECIES" "accepted" "Orthetrum brunneum (Fonscolombe, 1837)" "Orthetrum" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 4545746.75315101 45 NA NA 41 49 NA 720 NA NA NA NA 1 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.625 NA 0 1 1 0 0 0.77319587628866 NA 2 0 0 0 0 1 NA 35 "strong" "territorial" 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 20.5 18 23 1 1 0 0 "stenotop" "NO"
"Orthetrum cancellatum" "Orthetrum cancellatum (Linnaeus, 1758)" "SPECIES" "accepted" "Orthetrum cancellatum (Linnaeus, 1758)" "Orthetrum" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "LC" "LC" "VULNERABLE" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4909414.58759903 47 NA NA 44 50 NA 720 NA NA NA 0.164383561643836 1 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.666666666666667 NA 1 1 1 0 0 0.793814432989691 NA 2 0 1 1 1 0 NA 38 "strong" "territorial" 0 1 0 1 1 0 0 0 0 0 0 0 0 1 1 0 1 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 24 19 29 1 0 0 0 "eurytop" "NO"
"Orthetrum chrysostigma" "Orthetrum chrysostigma (Burmeister, 1839)" "SPECIES" "accepted" "Orthetrum chrysostigma (Burmeister, 1839)" "Orthetrum" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 29140890.7954741 42.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 0 1 0 1 NA 31 "strong" "territorial" 0 1 0 1 1 0 0 0 0 0 0 0 0 1 1 0 1 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Orthetrum coerulescens" "Orthetrum coerulescens (Fabricius, 1798)" "SPECIES" "accepted" "Orthetrum coerulescens (Fabricius, 1798)" "Orthetrum" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "LC" "LC" "REGIONALLY_EXTINCT" 1 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 4747762.92229012 40.5 NA NA 36 45 NA 720 NA NA NA 0.0821917808219178 1 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.791666666666667 NA 1 1 1 0 0 0.59106529209622 NA 1 0 0 0 0 1 NA 30.5 "strong" "territorial" 0 1 0 1 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 18 16 20 0 1 1 0 "oligotop" "NO"
"Orthetrum nitidinerve" "Orthetrum nitidinerve (Selys, 1841)" "SPECIES" "accepted" "Orthetrum nitidinerve (Selys, 1841)" "Orthetrum" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "VU" "NEAR_THREATENED" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 218061.736749263 48 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 1 1 1 0 NA 34.5 "strong" "territorial" 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Orthetrum sabina" "Orthetrum sabina (Drury, 1773)" "SPECIES" "accepted" "Orthetrum sabina (Drury, 1773)" "Orthetrum" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 47601207.7009003 46.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 1 1 1 1 1 NA 30.5 "weak" NA 1 1 1 0 0 0 1 0 0 0 0 1 1 1 0 0 0 1 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Orthetrum taeniolatum" "Orthetrum taeniolatum (Schneider, 1845)" "SPECIES" "accepted" "Orthetrum taeniolatum (Schneider, 1845)" "Orthetrum" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 35.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 1 NA 26.5 "strong" "territorial" 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Orthetrum trinacria" "Orthetrum trinacria (Selys, 1841)" "SPECIES" "accepted" "Orthetrum trinacria (Selys, 1841)" "Orthetrum" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 25491379.8370462 54 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 1 1 0 1 0 NA 33.5 "strong" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Oxygastra curtisii" "Oxygastra curtisii (Dale, 1834)" "SPECIES" "accepted" "Oxygastra curtisii (Dale, 1834)" "Oxygastra" "Corduliidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "VU" "NT" "REGIONALLY_EXTINCT" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 527487.523090893 50.5 NA NA 47 54 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA 1 NA 1 1 1 0 0 NA NA 1 0 1 0 0 1 NA 30 "medium" "territorial" 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 1 1 0 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 20.5 19 22 1 0 0 0 "stenotop" "NO"
"Pantala flavescens" "Pantala flavescens (Fabricius, 1798)" "SPECIES" "accepted" "Pantala flavescens (Fabricius, 1798)" "Pantala" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "InfoSpecies" "INM" "No" NA NA "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 82534895.8109524 48.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 1 0 1 1 1 NA 38.5 "weak" "non-territorial" 1 1 1 0 1 0 1 1 0 0 0 0 1 1 0 0 0 1 1 "yes" NA "hindwing" "weakly" 0.04 0 0 0 0 0 0 0 0 1 NA NA NA NA NA NA NA NA "NO"
"Paragomphus genei" "Paragomphus genei (Selys, 1841)" "SPECIES" "accepted" "Paragomphus genei (Selys, 1841)" "Paragomphus" "Gomphidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 12991051.172156 45 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 1 NA 23.5 "medium" NA 0 1 1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Platycnemis acutipennis" "Platycnemis acutipennis Selys, 1841" "SPECIES" "accepted" "Platycnemis acutipennis Selys, 1841" "Platycnemis" "Platycnemididae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "Yes" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1015767.04761342 35.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 1 NA 18.5 "strong" NA 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
